LZ_Nummer;fach1_id
1717;S02b
1888;S02b
1587;S03b
1592;S03b
2225;S03b
1605;S01b
1606;S03b
1607;S01b
1594;F06
1598;F06
33980;S01b
1644;S01b
1645;S01b
97363;S01b
1647;S01b
1648;S01b
1649;S01b
1677;S01b
1752;F06
70342;F06
1753;F06
6142;F06
1748;F06
7463;F06
7466;F06
1679;F06
1750;F06
7460;F06
1751;F06
6141;F06
37165;F06
37333;F10B
37334;F06
1680;F06
1744;F10B
1745;F10B
10477;F10B
1693;F06
6138;F06
1758;F06
6139;F06
1681;F06
1756;F06
1757;F06
6137;F06
2148;F10C
2149;F10C
7461;F06
7462;F06
1878;F06
1683;F06
1749;F06
1684;F06
1813;F06
1879;F06
2767;F06
37164;F06
37331;F06
37332;F06
1685;F06
78485;F06
1686;F06
1754;F06
1687;F10C
2443;F10C
2440;F10C
1741;F10
37161;F06
37162;F06
37163;F06
7431;F06
7432;F06
1691;F06
1692;F06
1783;S03b
7353;S03b
7422;S03b
7423;S03b
92491;F17
83084;Q09
2240;F17
1893;F06
1892;F06
1719;F10B
1721;F10B
1720;F10B
1723;F10
1724;F10
1725;F06
1726;F10B
1728;F06
1765;S01b
1976;S01b
2218;S01b
19870;S01b
19872;S01b
1773;S01b
1774;S01b
1775;S01b
102128;F12
102129;F12
102130;F12
102132;F12
102133;F12
102134;F12
102135;F12
102136;F12
102137;F12
2688;S01b
1434;S01b
10349;S01b
10348;S01b
10346;S01b
1889;F05U
1913;F05U
1915;F05U
1945;S03b
2119;S03b
10472;S03b
1908;S01b
1909;S01b
1910;S01b
1912;S01b
1481;F15
2183;F15
2186;"F14 "
2191;S03b
2624;S01b
7491;S01b
7492;F15
7493;F15
2777;S03b
2778;S03b
2144;F14
2141;F14
2140;F14
2142;F14
1668;S01b
1901;S01b
1902;S01b
10460;S01b
10461;S01b
2086;S03b
1552;S02b
7360;F13
1715;F11E
1713;F13
1651;S02b
1811;S02b
8423;S02b
1805;F11E
1707;F11E
7345;F11E
10459;S02b
1843;S02b
1842;S02b
1973;S01b
1974;S01b
7488;F05U
1850;F05U
1851;F05U
19856;S03b
37262;S01b
37426;S01b
1868;S01b
1872;S01b
45083;S01b
10430;S03b
10431;S03b
7490;S03b
45092;S03b
1642;S03b
2133;S03b
2136;S03b
2137;S03b
70340;S03b
2126;S03b
2574;S03b
3325;S03b
5875;S03b
20140;S03b
45078;S03b
45079;S03b
19861;S03b
19862;S03b
83081;F11E
1585;Q10
1812;Q10
19812;Q10
1661;S01a
39991;S01a
92446;S03b
92447;S03b
1788;S03b
92450;S03b
1790;S03b
1949;S03b
1860;S03b
7412;S03b
7386;S03b
1861;S03b
1867;S03b
92452;S03b
92453;S03b
7408;S03b
7411;S03b
7410;S03b
7413;S03b
45178;S01b
2089;S03b
2093;S03b
10449;S03b
70341;S03b
10437;S03b
10438;S03b
10470;S03b
1923;Q12
10429;Q12
12668;Q12
1920;Q12
1922;Q12
2323;Q12
2402;Q12
2324;Q12
12663;S03b
19886;S03b
19900;S03b
19901;S03b
19902;S03b
45077;S03b
19857;S03b
19859;S03b
19860;S03b
19858;S03b
19903;F15
19905;F15
19904;F15
19921;F15
10417;F15
19899;F15
19879;F15
19898;F15
1871;S01b
83080;F01
32680;F18
68494;F18
68496;F18
62198;F18
62199;F18
62200;F18
62201;F18
68493;F18
68499;F18
68501;F18
33000;F18
32961;F18
32786;F19
32863;F19
32787;F19
32858;F03
32859;F03
32891;F03
32892;F03
32902;F18
32904;F18
32905;F18
37460;F18
37489;F18
37488;F18
37568;F19
37570;F19
37571;F18
32918;F18
33938;F18
68516;F18
68519;F18
62188;F18
62189;F18
62190;F18
62191;F18
68515;F18
68517;F18
68518;F18
32794;FÜ
32975;FÜ
32793;FÜ
32796;FÜ
32797;FÜ
32908;FÜ
32911;FÜ
32889;F18
32994;F18
32887;F18
32890;F18
33944;F18
68508;F18
68514;F18
32840;F14
62192;F18
62193;F18
62194;F18
62195;F18
62196;F18
62197;F18
68510;F18
68512;F18
68513;F18
33086;D1
33082;F18
109691;F14
45061;F18
32986;F18
33883;F18
32933;F18
32936;Q09
45062;F18
45251;F18
32771;F18
45063;F18
32819;F18
32816;F18
32818;F18
32767;F18
32766;F18
33128;F18
33895;F18
32907;F18
32909;F18
32900;F18
78495;F18
32843;F17
32844;F17
32848;Q09
33106;F19
32978;F19
32976;F19
44770;F19
44771;F19
44772;F19
62187;F18
32780;S04a
32781;S04a
32782;S04a
32784;S04a
44163;Q11
44164;"F16 "
44787;F16
33875;F19
37490;Q09
37493;Q09
37492;Q09
37494;Q09
45117;F18
45115;F18
45116;F18
45119;F12
45118;F12
45120;F12
44782;S04a
44785;S04a
45126;F19
45127;F19
45128;F19
45084;F18
45085;F18
45086;F18
45087;F18
45089;F18
45090;F18
45192;F18
45193;F18
45194;F18
45195;F18
45196;F18
45197;F18
45095;F19
33048;F05N
45220;D1
45198;F05N
32693;F05N
45200;F14
37487;F14
32378;Q11
32379;Q11
45105;F14
45106;F14
32512;F14
45212;F14
32984;F14
32581;F14
32583;F14
32585;F14
45100;F14
32522;S03b
32735;S03b
32524;S03b
32736;S03b
32525;S03b
32987;F14
45219;F14
45221;F05N
33049;F05N
32479;F05N
45222;F14
45223;F05N
45235;F05N
32410;F14
32416;F14
62175;F14
62176;F14
62177;F14
62178;F14
68495;F14
68497;F14
68498;F14
68500;F14
32421;F14
32426;F14
62179;F14
62180;F14
62181;F14
62182;F14
68502;F14
68503;F14
68504;F14
68505;F14
32436;F14
32431;F14
62183;F14
62184;F14
62185;F14
62186;F14
68506;F14
68507;F14
68509;F14
68511;F14
45224;F14
45225;F14
45226;F14
45228;F14
32567;F14
45227;F14
45236;F12
32495;F12
32596;F12
45232;F14
45233;F14
45248;F14
32861;F14
32484;F14
32862;F14
45229;F14
45234;F14
32670;F14
32853;S03b
45238;F14
32673;F14
32555;F14
45237;F14
32542;F14
32441;F05N
62168;F05N
62169;F05N
62170;F05N
62171;F05N
62172;F05N
62173;F05N
45239;"F21 "
32624;F21
32874;"F16 "
32875;F16
45199;F14
45249;F14
32740;F14
32532;F02
32739;F16
32737;F14
32744;S03b
45240;F08A
32577;F08A
32579;F08A
32528;S03b
45230;F14
45247;F14
32529;S03b
32530;S03b
32963;FÜ
32964;FÜ
32965;FÜ
83211;FÜ
83212;FÜ
32576;"Q09 "
32575;F17
32981;F17
32574;F17
32980;F17
32884;F17
45285;F14
45190;F14
45191;F14
45286;F14
45287;F14
44936;F05N
44937;F05N
44939;F05N
45045;F05N
45046;F05N
45202;F05G
45203;F05G
45204;F05G
45205;F14
45214;F12
45215;F12
45216;F12
45217;F12
45218;F12
19101;F16
19102;F16
19103;F16
19191;Q12
19192;Q12
19193;Q12
20031;F05N
20032;F05N
20033;F05N
20014;F05U
19157;F05U
20012;F05U
19161;F05U
19160;F05U
19159;F05U
20013;F05U
19170;F05U
19162;F05U
20016;F05U
20017;F05U
94659;F05U
19999;F05U
20000;F05U
20018;F05U
20015;F11R
19409;F11R
19142;F11R
20002;F05U
20003;F05U
20004;F05U
20005;F05U
19105;Q11
19104;F01
45113;Q11
19106;Q11
19107;Q11
19108;Q11
19178;S03b
19811;S03b
62042;S03b
19440;S03b
19441;S03b
19495;S03b
19492;S03b
19494;"F15 "
19493;F05U
62043;S03b
62045;S03b
62044;S03b
20010;F15
20011;F15
19777;F15
19381;F11R
19206;F11R
20035;F11R
19973;F15
19974;F15
19975;F15
19977;F15
19990;F15
19136;F15
20009;F15
20022;F15
19462;F11G
19179;F11G
19360;F11G
19139;F11G
19991;F15
83215;F05U
